resume_id,job_id,overlap_ratio,label
r_89,AI07949,0.25,0
r_134,AI12445,0.25,0
r_132,AI05566,0.2,0
r_1551,AI05301,0.5,1
r_200,AI09785,0.2,0
r_588,AI01735,0.25,0
r_783,AI14187,0.5,1
r_588,AI03155,0.2,0
r_132,AI09710,0.2,0
r_562,AI10212,0.25,0
r_2489,AI09573,0.5,1
r_632,AI10534,0.25,0
r_656,AI02183,0.25,0
r_599,AI10346,0.25,0
r_561,AI06993,0.2,0
r_406,AI05190,0.2,0
r_187,AI14437,0.2,0
r_1205,AI09637,0.5,1
r_2895,AI01360,0.5,1
r_673,AI12276,0.2,0
r_111,AI10322,0.25,0
r_562,AI00867,0.2,0
r_132,AI06903,0.2,0
r_566,AI13334,0.2,0
r_406,AI11522,0.25,0
r_224,AI07910,0.5,1
r_594,AI13748,0.2,0
r_209,AI08331,0.2,0
r_632,AI05620,0.2,0
r_134,AI08293,0.25,0
r_134,AI01825,0.2,0
r_451,AI00156,0.5,1
r_174,AI12661,0.25,0
r_673,AI01183,0.25,0
r_58,AI12229,0.2,0
r_346,AI03887,0.2,0
r_200,AI14335,0.2,0
r_503,AI11479,0.25,0
r_2136,AI13447,0.5,1
r_187,AI14801,0.25,0
r_406,AI11858,0.25,0
r_1027,AI09637,0.5,1
r_111,AI09157,0.2,0
r_406,AI10677,0.25,0
r_134,AI07607,0.2,0
r_632,AI14573,0.2,0
r_187,AI08097,0.2,0
r_566,AI10534,0.25,0
r_111,AI05744,0.2,0
r_187,AI11827,0.25,0
r_656,AI05131,0.2,0
r_224,AI01536,0.25,0
r_187,AI09138,0.2,0
r_2927,AI02869,0.5,1
r_594,AI07909,0.2,0
r_174,AI02701,0.2,0
r_503,AI06194,0.2,0
r_58,AI03590,0.25,0
r_539,AI12605,0.25,0
r_187,AI07815,0.25,0
r_224,AI06782,0.25,0
r_93,AI00764,0.2,0
r_200,AI02807,0.25,0
r_1531,AI13061,0.5,1
r_209,AI10773,0.25,0
r_575,AI07674,0.25,0
r_187,AI09286,0.5,1
r_566,AI12688,0.25,0
r_594,AI07453,0.25,0
r_209,AI02444,0.25,0
r_134,AI08937,0.2,0
r_451,AI00990,0.25,0
r_160,AI07864,0.2,0
r_594,AI14654,0.25,0
r_160,AI10545,0.2,0
r_566,AI12121,0.25,0
r_58,AI10159,0.2,0
r_200,AI13885,0.2,0
r_566,AI12605,0.25,0
r_160,AI11351,0.25,0
r_566,AI11365,0.2,0
r_451,AI13436,0.25,0
r_2716,AI09843,0.5,1
r_12,AI03667,0.2,0
r_681,AI01653,0.5,1
r_174,AI01744,0.2,0
r_111,AI07877,0.2,0
r_346,AI00050,0.2,0
r_594,AI05817,0.2,0
r_656,AI12848,0.2,0
r_224,AI05545,0.2,0
r_594,AI01848,0.2,0
r_224,AI13324,0.2,0
r_187,AI14299,0.25,0
r_632,AI05108,0.2,0
r_134,AI08291,0.2,0
r_656,AI00085,0.2,0
r_93,AI10826,0.2,0
r_12,AI11088,0.2,0
r_566,AI14775,0.25,0
r_209,AI09462,0.2,0
r_224,AI01938,0.2,0
r_58,AI03749,0.25,0
r_2895,AI10551,0.5,1
r_58,AI11410,0.25,0
r_406,AI06601,0.25,0
r_562,AI05801,0.25,0
r_503,AI07362,0.2,0
r_1231,AI10587,0.5,1
r_588,AI00764,0.2,0
r_632,AI03639,0.25,0
r_132,AI11060,0.25,0
r_174,AI04694,0.25,0
r_12,AI00284,0.25,0
r_132,AI07400,0.2,0
r_132,AI12593,0.25,0
r_89,AI00031,0.2,0
r_93,AI06402,0.2,0
r_562,AI06833,0.25,0
r_539,AI00415,0.2,0
r_451,AI09994,0.25,0
r_375,AI04499,0.25,0
r_187,AI01930,0.25,0
r_588,AI13269,0.2,0
r_1549,AI10551,0.5,1
r_656,AI01026,0.2,0
r_187,AI10346,0.25,0
r_89,AI10427,0.2,0
r_594,AI06231,0.25,0
r_539,AI08458,0.25,0
r_174,AI03308,0.25,0
r_174,AI06923,0.25,0
r_346,AI02233,0.2,0
r_89,AI12818,0.25,0
r_575,AI05108,0.2,0
r_562,AI00553,0.2,0
r_575,AI05187,0.25,0
r_539,AI12262,0.2,0
r_656,AI05183,0.5,1
r_89,AI09113,0.2,0
r_132,AI09573,0.5,1
r_134,AI04900,0.25,0
r_561,AI05471,0.25,0
r_2130,AI01360,0.5,1
r_200,AI09619,0.2,0
r_2857,AI05724,0.5,1
r_58,AI13443,0.25,0
r_174,AI05779,0.2,0
r_1197,AI14187,0.5,1
r_134,AI02444,0.25,0
r_12,AI11164,0.25,0
r_575,AI06738,0.25,0
r_588,AI13214,0.25,0
r_200,AI13713,0.25,0
r_12,AI13811,0.25,0
r_174,AI13231,0.25,0
r_209,AI02577,0.25,0
r_134,AI05582,0.25,0
r_594,AI01474,0.5,1
r_224,AI13817,0.2,0
r_209,AI10077,0.25,0
r_132,AI00154,0.25,0
r_1955,AI07018,0.5,1
r_588,AI12964,0.25,0
r_187,AI08508,0.2,0
r_594,AI01631,0.2,0
r_134,AI08018,0.2,0
r_539,AI06324,0.2,0
r_539,AI08440,0.2,0
r_12,AI05637,0.2,0
r_375,AI13340,0.25,0
r_503,AI04698,0.2,0
r_111,AI08487,0.2,0
r_89,AI14865,0.2,0
r_561,AI12927,0.25,0
r_561,AI06515,0.25,0
r_134,AI10864,0.2,0
r_89,AI07697,0.25,0
r_561,AI02168,0.25,0
r_224,AI09972,0.2,0
r_160,AI02675,0.2,0
r_209,AI01242,0.25,0
r_2895,AI07230,0.5,1
r_599,AI11950,0.2,0
r_656,AI13184,0.25,0
r_632,AI08984,0.2,0
r_406,AI10508,0.25,0
r_503,AI12138,0.25,0
r_539,AI04596,0.25,0
r_160,AI07745,0.25,0
r_93,AI11644,0.25,0
r_93,AI07625,0.25,0
r_656,AI01709,0.2,0
r_224,AI03331,0.25,0
r_2088,AI02869,0.5,1
r_632,AI01173,0.25,0
r_575,AI00208,0.2,0
r_89,AI07656,0.2,0
r_89,AI13258,0.2,0
r_562,AI11032,0.2,0
r_656,AI05594,0.25,0
r_346,AI14330,0.2,0
r_209,AI13957,0.25,0
r_632,AI09490,0.2,0
r_588,AI01814,0.2,0
r_575,AI05202,0.2,0
r_174,AI02704,0.25,0
r_93,AI12511,0.25,0
r_599,AI02387,0.2,0
r_174,AI10400,0.25,0
r_375,AI01541,0.25,0
r_89,AI05864,0.2,0
r_562,AI14437,0.2,0
r_346,AI05365,0.25,0
r_539,AI06825,0.5,1
r_209,AI02073,0.2,0
r_200,AI11827,0.25,0
r_562,AI08257,0.2,0
r_224,AI14531,0.25,0
r_588,AI04833,0.2,0
r_160,AI14362,0.5,1
r_575,AI08701,0.25,0
r_2857,AI00436,0.5,1
r_224,AI09351,0.2,0
r_111,AI13885,0.2,0
r_160,AI13356,0.2,0
r_632,AI09058,0.25,0
r_681,AI14770,0.5,1
r_187,AI02901,0.2,0
r_406,AI03649,0.25,0
r_566,AI00457,0.2,0
r_111,AI08780,0.25,0
r_93,AI10024,0.25,0
r_566,AI12452,0.2,0
r_187,AI10859,0.25,0
r_89,AI04118,0.25,0
r_451,AI11444,0.25,0
r_599,AI14792,0.2,0
r_89,AI02073,0.2,0
r_12,AI03742,0.5,1
r_111,AI11207,0.25,0
r_539,AI00045,0.5,1
r_588,AI05183,0.5,1
r_200,AI02483,0.2,0
r_656,AI03820,0.25,0
r_111,AI00437,0.25,0
r_346,AI13340,0.25,0
r_451,AI11827,0.25,0
r_134,AI04017,0.25,0
r_209,AI12217,0.25,0
r_187,AI01216,0.2,0
r_562,AI09737,0.2,0
r_406,AI04499,0.25,0
r_111,AI02482,0.2,0
r_406,AI03712,0.25,0
r_562,AI09434,0.5,1
r_503,AI07753,0.2,0
r_539,AI10173,0.2,0
r_93,AI09619,0.2,0
r_594,AI04364,0.25,0
r_575,AI11122,0.5,1
r_656,AI00817,0.25,0
r_451,AI05192,0.2,0
r_224,AI02732,0.25,0
r_12,AI04937,0.25,0
r_768,AI05568,0.5,1
r_451,AI06194,0.2,0
r_503,AI11419,0.25,0
r_93,AI04122,0.2,0
r_632,AI08699,0.25,0
r_562,AI09398,0.25,0
r_93,AI14946,0.25,0
r_406,AI01777,0.2,0
r_2857,AI07018,0.5,1
r_575,AI11600,0.2,0
r_575,AI12848,0.2,0
r_566,AI13028,0.2,0
r_12,AI05062,0.25,0
r_93,AI05187,0.25,0
r_673,AI01281,0.2,0
r_2489,AI06296,0.5,1
r_160,AI09627,0.25,0
r_58,AI14573,0.2,0
r_160,AI12593,0.25,0
r_209,AI00664,0.25,0
r_375,AI10859,0.25,0
r_12,AI09671,0.25,0
r_566,AI12930,0.25,0
r_588,AI01981,0.2,0
r_673,AI03828,0.2,0
r_89,AI05309,0.2,0
r_93,AI12053,0.2,0
r_160,AI08916,0.25,0
r_539,AI10080,0.2,0
r_539,AI12174,0.25,0
r_111,AI04277,0.2,0
r_93,AI00447,0.2,0
r_111,AI09230,0.25,0
r_174,AI07889,0.25,0
r_93,AI02280,0.2,0
r_12,AI06010,0.25,0
r_503,AI09685,0.25,0
r_93,AI03934,0.2,0
r_200,AI13133,0.2,0
r_132,AI08351,0.25,0
r_12,AI01909,0.25,0
r_575,AI06258,0.25,0
r_594,AI06944,0.5,1
r_709,AI05177,0.5,1
r_187,AI09701,0.2,0
r_561,AI06877,0.2,0
r_111,AI07161,0.25,0
r_562,AI03582,0.2,0
